ingredient,price,quantity,unit
"lemon|lemon juice|lemon zest|lemons|fresh lemon juice|'lemon, juice of'",0.58,1.00,each
10-inch flour tortillas|6-inch flour tortillas|flour tortillas|soft taco-size flour tortillas,1.68,10.00,each
accent seasoning,3.97,4.50,oz
agar-agar,1.83,6.00,oz
ahmed brand vermicelli,8.99,150.00,g
aji yellow paste,8.95,7.50,oz
all purpose greek seasoning,4.98,4.70,oz
anchovies|anchovy paste,7.99,1.60,oz
apple,0.88,1.00,each
apple cider vinegar,3.10,16.00,floz
arrowroot,5.48,20.00,oz
artichoke heart|artichoke hearts|artichokes,2.72,14.00,oz
arugula,1.98,10.00,oz
asian pears,1.06,1.00,each
asian-style dressing,7.99,12.00,floz
asparagus,3.77,10.00,oz
avocado|avocados,0.78,1.00,each
bacon,5.24,16.00,oz
baguette,1.97,10.00,oz
baking potatoes,0.92,1.00,each
baking powder,2.63,8.10,oz
baking soda,13.99,1.00,lb
balsamic vinegar,2.38,8.00,floz
bamboo shoot,8.92,8.00,oz
banana peppers,1.88,12.00,oz
barbecue sauce,3.98,15.80,oz
barley,2.18,19.00,oz
basil|basil leaves,12.99,8.00,oz
basil pesto,4.28,8.10,oz
bay leaf|bay leaves,11.99,2.50,oz
bean sprouts,14.99,64.00,oz
beans,2.48,22.00,oz
beau monde seasoning,3.98,3.50,oz
beef|lean beef|lean ground beef|london broil beef|roast beef|deli roast beef|ground beef,4.84,0.50,lb
beef consomme|beef stock,2.43,7.90,oz
beer,16.48,12.00,floz
bell pepper|bell peppers,0.86,1.00,each
black beans|canned black beans,2.98,29.00,oz
pepper|black pepper|black peppercorns|cracked black pepper|ground black pepper|fresh coarse ground black pepper|fresh ground black pepper|fresh ground pepper,4.18,3.12,oz
blue cheese,3.63,5.00,oz
blue cheese dressing,3.98,13.00,floz
bok choy|baby bok choy,2.97,1.00,each
boneless skinless chicken thighs|boneless chicken thighs,5.78,1.25,lb
boneless pork chops,10.40,3.80,lb
cooked chicken breast|chicken breast|chicken breasts|boneless chicken breast|skinless chicken breasts|boneless skinless chicken breast|boneless skinless chicken breast halves|boneless skinless chicken breasts|cooked boneless skinless chicken breast,13.64,6.25,lb
bonito tuna,6.58,6.70,oz
bread|breadcrumbs,4.48,24.00,oz
bread flour,5.58,5.00,lb
broccoli|broccoli floret|broccoli florets,5.98,32.00,oz
butter|unsalted butter,5.28,16.00,oz
buttermilk,4.48,12.00,oz
button mushrooms,2.18,8.00,oz
cabbage,3.28,1.00,each
cabbage kimchi|kim chee,4.48,14.00,oz
caesar salad dressing,3.97,12.00,floz
canadian bacon,4.18,6.00,oz
canned pineapple,1.98,20.00,oz
canned tuna,1.98,4.50,oz
cannellini beans,0.82,15.50,oz
canola oil,3.96,24.00,floz
capers,1.48,3.50,floz
cardamom|cardamom pods|whole cardamom pods|ground cardamom|cardamom powder|green cardamoms,9.70,4.00,oz
carrot|carrots,2.52,10.80,oz
cashews,5.72,8.00,oz
cauliflower|cauliflower floret,0.55,10.80,oz
cayenne|cayenne pepper,3.77,2.25,oz
celery|celery ribs,2.98,20.00,oz
charoli nuts,8.12,16.00,oz
cheese|cheese slices|cheddar cheese|sharp cheddar cheese|shredded cheddar cheese|fat-free cheddar cheese,5.58,16.00,oz
cheese tortellini,4.27,19.00,oz
cherry peppers,7.82,16.00,floz
cherry tomatoes,2.48,10.00,oz
chicken|cooked chicken|roasting chickens,8.68,8.00,oz
chicken broth|chicken stock|chicken stock powder|instant chicken broth|low sodium chicken broth|ready-to-serve chicken broth|reduced-sodium fat-free chicken broth,2.52,32.00,oz
chickpea flour,14.99,1.00,lb
chickpeas|canned chick-peas,1.28,16.00,oz
chili,1.58,1.25,oz
chili powder,1.58,1.25,oz
chili paste with garlic and ginger,3.92,8.00,oz
chinese bellflower,3.00,1.00,each
chinese noodles,4.98,14.00,oz
chinese radishes,1.37,1.00,bunch
chinese red vinegar,14.99,19.61,floz
chinese vegetables,2.88,10.80,oz
chipotle chile in adobo|chipotle chiles in adobo,3.23,11.00,oz
chipotle chili mayonnaise,4.68,12.00,floz
chocolate ice cream,3.98,14.00,oz
chocolate sprinkles,3.42,10.50,oz
cider vinegar,3.10,16.00,floz
cilantro,3.94,0.35,oz
cinnamon|cinnamon stick|ground cinnamon,2.77,2.37,oz
cinnamon sugar,2.77,2.37,oz
citric acid,14.95,1.00,lb
cloves|ground cloves,12.49,8.00,oz
coarse salt,3.44,48.00,oz
cognac,25.00,1.69,oz
cooked pasta,1.28,4.00,oz
cooked pork,9.83,15.00,oz
cooked turkey,8.34,15.00,oz
cooking oil,6.48,474.00,ml
cooking spray|vegetable oil cooking spray|pam cooking spray|olive oil flavored cooking spray,2.52,8.00,oz
coriander|coriander leaves|coriander powder|fresh coriander|fresh coriander leaves|ground coriander,1.78,0.50,oz
corkscrew macaroni,1.76,16.00,oz
corn kernel,1.63,15.25,oz
corn tortilla|corn tortillas|6-inch corn tortillas,3.24,14.00,each
cornflour|cornmeal,2.12,2.00,lb
cornstarch,2.34,16.00,oz
cottage cheese|2% fat cottage cheese|nonfat cottage cheese,2.67,24.00,oz
country bread,4.18,24.00,oz
crabmeat,3.12,6.00,oz
craisins,4.18,12.00,oz
cream|fresh cream|heavy cream|whipping cream|whipped cream,3.37,16.00,oz
cream cheese,3.60,8.00,oz
cream of chicken soup,1.26,10.50,oz
crescent rolls,3.24,8.00,oz
croissants,4.98,9.50,oz
crouton,1.40,5.00,oz
crusty bread,4.12,13.00,oz
cucumber,1.97,16.00,oz
cumin|cumin powder|cumin seed|cumin seeds,1.28,2.50,oz
curry leaves,9.99,0.21,oz
curry powder,14.99,16.00,oz
dashi,21.60,120.00,g
deli turkey,7.33,16.00,oz
dijon mustard,1.67,12.00,oz
dill|dill pickle slices|dill weed,1.47,3.50,oz
dried basil,1.18,0.80,oz
dried brown lentils,11.99,454.00,g
dried chinese mushrooms,3.98,3.20,oz
dried curry leaves,9.95,0.50,oz
dried hijiki seaweed,11.99,8.00,oz
dried marjoram,11.99,4.00,oz
dried mint flakes,11.44,4.00,oz
dried oregano,1.18,0.87,oz
dried parsley,1.18,0.40,oz
dried rosemary,9.99,4.50,oz
fresh shiitake mushrooms|dried shiitake mushroom|dried shiitake mushrooms,3.98,3.20,oz
dried shrimp,3.47,1.25,oz
dried thyme|dried whole thyme,10.00,3.00,oz
dry breadcrumbs,1.34,15.00,oz
dry mustard,2.36,1.50,oz
dry sherry,3.66,385.00,ml
dry white wine,9.99,752.00,ml
duck broth,2.77,32.00,oz
dumpling wrappers,95.55,224.00,oz
edamame,2.23,12.00,oz
egg,5.32,16.00,oz
egg noodles,2.48,12.00,oz
egg roll wraps,2.73,18.00,oz
egg white|egg whites,6.33,32.00,oz
eggplants,2.20,1.00,each
elbow macaroni,1.12,16.00,oz
english cucumber,0.98,1.00,each
english muffins,1.58,12.00,oz
fennel seeds,11.99,8.00,oz
feta|feta cheese,2.84,8.00,oz
fiesta nacho cheese soup,1.72,10.75,oz
fine egg noodles,6.99,12.00,oz
fish cake,4.87,12.00,oz
fish fillets,8.70,23.00,g
fish sauce,4.28,200.00,ml
five-spice powder,7.49,1.05,oz
flat iron steaks,10.74,1.62,lb
flat leaf parsley,1.78,0.50,oz
flat-leaf italian parsley,8.49,0.40,oz
flour|all-purpose flour|all-purpose white flour,2.67,5.00,lb
fontina,4.28,8.00,oz
frank's red hot sauce,6.28,680.00,ml
frankfurters,1.18,12.00,oz
french bread,1.00,14.00,oz
french haricots vert,3.77,12.00,oz
french onion soup,1.72,10.50,oz
fresh basil|fresh basil leaf,1.78,0.50,oz
fresh bean sprout,3.99,14.00,oz
fresh carrots,0.98,1.00,lb
fresh chives,3.94,0.35,oz
fresh cilantro|fresh cilantro stem,3.94,0.35,oz
fresh dill,1.78,0.50,oz
fresh dill weed,10.00,1.30,oz
fresh flat-leaf parsley,1.78,0.50,oz
fresh garlic,0.66,1.00,each
fresh orange juice,3.98,1500,ml
fresh oregano,1.78,0.50,oz
fresh parmesan cheese,3.17,5.00,oz
fresh parsley|fresh parsley leaves,1.78,0.50,oz
fresh rosemary,1.78,0.50,oz
fresh sage,1.78,0.50,oz
fresh snow peas,2.57,8.00,oz
fresh spinach,2.28,10.00,oz
fresh thyme,1.78,0.50,oz
fresh thyme leave,8.99,1.20,oz
frozen artichoke hearts,2.44,13.75,oz
frozen chopped spinach,1.22,12.00,oz
frozen corn kernels,1.18,12.00,oz
frozen green pea|frozen peas,1.12,12.00,oz
frozen spinach,1.12,12.00,oz
frozen tater tots,3.58,32.00,oz
frozen whole kernel corn,1.18,12.00,oz
garam masala|garam masala powder,6.71,2.00,oz
garbanzo beans,1.56,15.50,oz
garlic salt,4.78,11.00,oz
genoa salami,5.67,4.00,oz
ghee,34.99,32.00,oz
ginger-garlic paste,3.94,4.00,oz
ginger|fresh ginger|minced ginger|fresh gingerroot|ginger paste|ginger powder|gingerroot,0.92,1.00,each
goat cheese,3.28,4.00,oz
golden raisin,4.12,15.00,oz
gram flour,14.99,1.00,lb
grape tomatoes,2.48,10.00,oz
greek fassolia gigantes,40.00,500.00,g
greek oregano,9.99,4.00,oz
green cabbage,3.28,1.00,each
green chili|green chilies,1.77,4.00,oz
green lentil,1.34,1.00,lb
green olives,7.12,21.00,oz
green onion|green onions,1.86,1.00,each
green peas,1.12,12.00,oz
green pepper|green peppers|green bell pepper|green bell peppers,0.86,1.00,each
green tomato,0.27,1.00,each
allspice|ground allspice,11.99,8.00,oz
ground cayenne pepper,10.49,4.00,oz
ground chuck,5.47,1.00,lb
ground cumin,1.28,2.50,oz
ground ginger,2.36,15.00,oz
ground nutmeg,14.90,7.00,oz
ground pork,7.86,32.00,oz
ground turkey,4.72,16.00,oz
ground veal,7.86,32.00,oz
guacamole,2.98,8.00,oz
hachiya persimmons,44.99,3.00,lb
halloumi cheese,5.97,7.90,oz
cooked ham|ham slices,3.77,16.00,oz
hamburger bun|hamburger buns,3.00,15.00,oz
hard-boiled eggs|eggs,0.81,1.00,each
hoagie rolls,3.48,16.00,oz
hoisin sauce,3.28,20.00,oz
honey,8.67,24.00,oz
hot chili powder,10.28,5.20,oz
hot fudge,2.28,12.80,oz
hot italian sausage,5.44,19.00,oz
hot ketchup,2.92,20.00,oz
hot pepper|hot peppers,3.82,12.00,oz
hot sauce,8.00,60.00,ml
hot sausage,5.44,19.00,oz
iceberg lettuce,1.74,1.00,each
instant coffee granules,5.48,3.52,oz
italian bread,1.00,14.00,oz
italian dressing,4.17,355.00,ml
italian parsley,1.78,0.50,oz
italian seasoning,1.18,0.95,oz
jalapeno|jalapeno pepper|jalapeno peppers|jalapenos,0.43,5.0,each
jalapeno havarti cheese,3.97,6.00,oz
jelly,2.27,20.00,oz
jicama,1.17,1.00,each
jimmy dean sausage,4.97,9.60,oz
jumbo pasta shells,2.00,12.00,oz
kaiser rolls,3.97,11.00,oz
kalamata olive|kalamata olives,3.34,6.35,oz
kasseri cheese,6.38,8.00,oz
kefalotiri,19.99,1.00,each
kelp,4.98,1.76,oz
kernel corn,7.91,9.50,oz
ketchup|catsup,5.63,11.30,oz
kidney beans,1.36,16.00,oz
kirby cucumbers,1.97,16.00,oz
kosher salt,2.36,16.00,oz
lard,39.99,7.00,lb
large raw shrimp|large shrimp,49.99,2.00,lb
lamb|ground lamb|lean boneless leg of lamb|lean ground lamb,7.88,1.00,lb
lean ground turkey,5.64,16.00,oz
lentils,1.34,1.00,lb
lettuce|lettuce leaf|lettuce leaves,1.74,1.00,each
light brown sugar|granulated sugar|confectioners' sugar|sugar|brown sugar,2.57,32.00,oz
light corn syrup,2.94,32.00,oz
"lime|lime juice|limes|'limes, juice and zest of'|'limes, juice of'|fresh lime juice|fresh lime zest",0.25,1.00,each
linguine,1.18,16.00,oz
low sodium vegetable broth,3.98,32.00,oz
major grey chutney,11.99,12.00,oz
mango chutney,12.99,12.30,oz
mangoes,2.97,16.00,oz
maple syrup,5.94,709.00,ml
marinara sauce,2.12,24.00,oz
marinated artichoke hearts,7.22,12.00,oz
marsala wine,3.66,385.00,ml
mashed potatoes,4.34,24.00,oz
masoor dal,10.99,908.00,g
mayonnaise|reduced-fat mayonnaise|low-fat mayonnaise,5.98,30.00,oz
medium pasta shells,1.76,16.00,oz
medium shrimp,8.42,16.00,oz
mexican vegetarian ground meat substitute,6.24,13.50,oz
milk|low-fat milk|whole milk,3.44,128.00,oz
garlic|garlic paste|garlic powder|garlic clove|garlic cloves|fresh garlic cloves|minced garlic clove,0.66,1.00,each
mint|mint leaf|fresh mint leaves|of fresh mint,1.98,0.50,oz
mirin,13.47,10.00,oz
miso,6.16,750.00,g
mixed italian herbs,2.13,0.77,oz
mixed nuts|nuts,5.48,10.30,oz
mixed salad green,3.13,5.00,oz
mixed spice,4.98,3.90,oz
mixed sprouts,16.99,0.50,lb
monterey jack cheese|monterey jack pepper cheese|reduced-fat monterey jack cheese,3.86,16.00,oz
mozzarella cheese|fresh mozzarella cheese|smoked mozzarella cheese,3.86,16.00,oz
mushroom|mushroom pieces|mushrooms|sliced mushrooms|dried mushrooms|fresh mushrooms,2.18,8.00,oz
mustard seeds,2.54,3.50,oz
mutton,1.48,100.00,g
naan bread,2.92,8.80,oz
nori,4.93,1.00,oz
nutella,9.87,33.50,oz
nutmeg,4.62,1.10,oz
oatmeal,5.68,42.00,oz
octopus|baby octopus,13.48,8.00,oz
oil,14.67,128.00,oz
okra|okara,3.68,1.00,lb
olive oil|extra virgin olive oil|virgin olive oil|lite olive oil,12.12,32.00,oz
olive salad,3.98,7.00,oz
onion|onions,0.67,1.00,each
onion powder,6.48,7.62,oz
onion seeds,1.96,875.00,mg
orange rind,4.58,1.15,oz
orecchiette,7.28,16.00,oz
oregano|oregano leaves,5.24,0.28,oz
orzo pasta,1.76,16.00,oz
oyster mushrooms,3.28,3.50,oz
oyster sauce,13.90,9.00,oz
panko breadcrumbs,2.44,8.00,oz
paprika,7.81,6.62,oz
parmesan cheese|parmigiano-reggiano cheese,7.72,16.00,oz
parsley,5.24,0.30,oz
pastry dough,6.24,17.30,oz
peanut butter,12.59,16.30,oz
peanut oil,6.79,2.00,oz
pears,1.67,1.00,lb
pecans,6.34,8.00,oz
phyllo dough,5.18,16.00,oz
picante sauce,2.67,16.00,oz
pickled grape leaves,24.99,16.00,oz
pickles,2.26,24.00,oz
pickling onions,4.72,16.00,oz
pillsbury refrigerated crescent dinner rolls,3.24,8.00,oz
pimientos,1.78,4.00,oz
pine nuts,22.45,1.00,lb
pisco,10.34,4.40,oz
pistachio nut,10.48,24.00,oz
pita bread|pita bread round|pita bread rounds|pita breads,3.27,8.00,oz
pita chips,3.82,9.50,oz
black olives|pitted black olives,1.94,6.00,oz
pizza dough,5.23,17.60,oz
pizza sauce,1.87,15.00,oz
plain breadcrumbs,1.34,15.00,oz
plain flour,1.44,2.00,lb
plum juice,12.20,48.00,oz
plum tomato|plum tomatoes,2.38,28.00,oz
pork|pork butt|pork tenderloin|lean pork|lean boneless pork,9.34,2.00,lb
portabella mushroom caps,2.88,6.00,oz
potato|potatoes,3.47,5.00,lb
powdered milk,16.99,1.00,lb
prosciutto,17.53,1.00,lb
provolone cheese,2.46,8.00,oz
pumpkin seeds,13.61,16.00,oz
queso fresco,3.18,10.00,oz
raisins,6.70,32.00,oz
ramen noodles,3.95,3.00,oz
raspberry vinegar,18.99,16.90,oz
raw shrimp,9.97,2.00,lb
red bell pepper|sweet red pepper|sweet red peppers|red capsicum,1.48,1.00,each
red cabbage,0.98,1.00,lb
red food coloring,2.12,1.00,oz
red jalapeno chile,0.84,4.00,oz
red leaf lettuce,1.46,1.00,each
red onion,1.08,1.00,lb
red chili paste,11.99,4.00,oz
red chili pepper|red chili pepper flakes|red chili powder|red pepper|red pepper flakes|red pepper paste|red pepper powder|red peppers|ground red pepper|roasted red pepper|crushed red pepper flakes|pepperoncini pepper,10.00,6.00,oz
red potatoes|baby red potatoes,3.24,3.00,lb
red wine,9.98,750.00,ml
red wine vinaigrette,2.78,15.00,oz
red wine vinegar,2.52,16.00,oz
reduced-calorie italian dressing,4.48,12.00,oz
refried beans|low-sodium refried beans|vegetarian refried beans,1.56,15.50,oz
refrigerated crescent dinner rolls,3.24,8.00,oz
rice|short-grain rice|basmati rice|cooked basmati rice|cooked brown rice|cooked rice|cooked sushi rice|cooked white rice|long grain and wild rice blend|long grain rice|long-grain white rice,20.27,20.00,lb
rice flour,12.99,4.00,lb
rice noodles,4.18,14.00,oz
rice paper,3.98,12.00,oz
rice vinegar,13.32,12.00,oz
rice wine vinegar,88.00,16.68,lb
ricotta cheese,5.97,32.00,oz
rolls,4.12,13.00,oz
romaine lettuce|romaine lettuce leaves,0.33,1.00,oz
romano cheese,5.14,8.00,oz
rose water,13.99,10.00,oz
rosemary,1.98,0.50,oz
round steaks,10.94,1.00,lb
rye berries,17.99,3.00,lb
saffron strand|saffron strands,12.95,0.01,oz
sage leaves,4.33,1.00,oz
salad greens,2.73,6.00,oz
salsa|chunky salsa,2.76,16.00,oz
salt|sea salt,1.42,4.40,oz
salt & freshly ground black pepper|salt & pepper|salt and black pepper|salt and pepper,14.24,16.00,oz
saltine crackers,1.92,16.00,oz
sambal oelek,13.85,18.00,oz
scallion|scallions,0.98,1.00,bunch
seasoning,2.27,2.30,oz
self-rising cornmeal,9.95,32.00,oz
serrano pepper,1.58,4.00,oz
sesame seeds|black sesame seed,8.88,3.75,oz
shallots,1.68,3.00,oz
sherry wine,3.66,13.10,oz
shoyu,3.18,24.00,oz
shrimp|baby shrimp,5.72,12.00,oz
sifted flour,1.44,2.00,lb
slivered almonds,6.12,10.00,oz
small shell pasta,1.18,16.00,oz
smoked salmon,11.58,8.00,oz
soba noodles,10.99,8.00,oz
sour cream|light sour cream|reduced-fat sour cream,2.27,16.00,oz
sourdough bread,4.48,24.00,oz
southwestern chicken strips,5.18,1.00,lb
soy flakes,23.99,12.40,oz
soy sauce|kikkoman soy sauce|light soy sauce|light soya sauce|low sodium soy sauce|black soy sauce,3.58,15.00,oz
spaghetti sauce,2.12,24.00,oz
spinach|baby spinach leaves|spinach leaves,2.72,6.00,oz
spring onion|spring onions,21.41,0.23,oz
squid,5.32,4.00,oz
sunflower seeds,10.99,1.00,lb
sweet green pepper,0.86,1.00,each
sweet italian sausage links,5.44,19.00,oz
sweet onion|sweet onions,2.88,3.00,lb
sweet pickles,6.50,16.00,oz
szechuan peppercorns,10.00,4.00,oz
tabasco sauce,6.86,12.00,oz
taco shells,2.52,4.50,oz
tagliatelle pasta noodles,1.76,16.00,oz
tahini,14.68,16.00,oz
tamari|tamari soy sauce,16.95,10.00,oz
tamarind pulp,17.95,16.00,oz
tempeh,6.49,8.00,oz
tequila,14.98,750.00,ml
teriyaki sauce,2.42,15.00,oz
thyme,1.98,0.50,oz
tilapia fillets,6.66,1.00,lb
sesame oil|dark sesame oil|toasted sesame oil,9.97,500.00,ml
tofu|firm tofu,3.42,16.00,oz
tomato paste|tomato puree,1.08,6.00,oz
tomato sauce|no-salt-added tomato sauce|spicy tomato sauce,0.82,8.00,oz
whole tomatoes|tomatoes|fresh tomato|crushed tomatoes|diced tomato|diced tomatoes|diced tomatoes with lime and cilantro,2.40,28.00,oz
tortellini,6.97,18.00,oz
tortilla|tortillas,3.24,14.00,each
tortilla chips,3.13,11.00,oz
tuna|tuna in water,4.87,5.00,oz
tuna steak,6.42,1.00,lb
turmeric|turmeric powder,9.58,5.87,oz
vanilla,4.87,1.00,oz
vegetable broth|vegetable stock,2.77,32.00,oz
vegetable oil,5.24,40.00,oz
vegetables|stir fry vegetables,7.27,52.20,oz
vegetarian worcestershire sauce,13.08,5.00,oz
vinegar,3.93,128.00,oz
walnuts,8.48,16.00,oz
wasabi|wasabi paste,7.99,1.50,oz
water chestnut|water chestnuts,1.18,8.00,oz
water-packed artichoke hearts,2.98,14.00,oz
watercress,1.68,1.00,bunch
watermelon|seedless watermelon,8.98,1.00,each
wheat berries,11.49,1.00,lb
wheat bran,10.00,16.00,oz
wheat gluten,13.96,20.00,oz
white bread|white breadcrumbs,2.92,20.00,oz
white onion,1.06,1.00,lb
white pearl onions,3.48,10.00,oz
white pepper,12.99,8.00,oz
white vinegar,3.93,128.00,oz
white wine,3.66,12.00,oz
white wine vinegar,2.44,12.70,oz
whole wheat flour,8.00,80.00,oz
whole wheat tortillas,2.67,16.00,oz
wine vinegar,2.52,16.00,oz
wonton skins,2.58,14.00,oz
worcestershire sauce,2.77,18.00,oz
yams,9.60,40.00,oz
yeast|dry yeast,16.98,16.00,oz
yellow cornmeal,11.59,24.00,oz
yellow lentils,12.90,2.00,lb
yellow mustard,1.08,20.00,oz
yellow onion|yellow onions,3.94,3.00,lb
yellow peppers|yellow bell pepper|yellow sweet pepper,1.87,1.00,lb
yogurt|yoghurt|plain nonfat yogurt|plain yogurt|greek yogurt|low-fat plain yogurt|low-fat yogurt,6.68,32.00,oz
yogurt starter,14.19,1.00,oz
yukon gold potato|yukon gold potatoes,4.88,3.00,lb
zucchini,1.48,1.00,lb
water|warm water|hot water|cold water,0.00,1.00,ml
liquid,0.00,1.00,ml
cloth,0.00,1.00,each